student_id,reading_score,writing_score,term
1001,78,80,Fall 2023
1002,85,88,Fall 2023
1003, ,82,Fall 2023
1004,90,91,Fall 2023
1005,87, ,Fall 2023
1006,92,94,Fall 2023
1007,75,77,Fall 2023
1008,89,90,Fall 2023
1009,93,95,Fall 2023
1010,81,83,Fall 2023
1003, ,82,Fall 2023   <-- duplicate
1011,88,89,Fall 2023
1012,91,92,Fall 2023
1013,79,80,Fall 2023
1014,84,86,Fall 2023
1015,88,87,Fall 2023
1016,NULL,90,Fall 2023
1017,90,NULL,Fall 2023
1018,78,80,Fall 2023
1019,85,87,Fall 2023
1020,92,93,Fall 2023
